scenario	repetition	position	candidate	stage	role	pid	sample_count	sample_interval_s	cpu_ticks	user_system_cpu_ms	cpu_percent_one_core	cpu_resolution_percent_one_core	cpu_us_per_correct_on_time	cpu_resolution_us_per_correct_on_time	rss_median_kib	rss_peak_kib	fd_median	fd_peak	stage_invalid_reason	pair_valid
w2	1	1	go	normal-reference	fixture-1	69356	4	3.00321	0	0.0	0.0	0.333			10744.0	10760	7.0	7		true
w2	1	1	go	normal-reference	load-generator	69421	4	3.003195	7	70.0	2.331	0.333			13734.0	13816	9.0	9		true
w2	1	1	go	normal-reference	sut	69380	4	3.003238	3	30.0	0.999	0.333	50.0	16.667	38928.0	38940	9.0	9		true
w2	1	1	go	common-load	fixture-1	69356	4	3.002634	1	10.0	0.333	0.333			10764.0	10764	7.0	7		true
w2	1	1	go	common-load	load-generator	69456	4	3.002744	15	150.0	4.995	0.333			15728.0	15748	9.0	10		true
w2	1	1	go	common-load	sut	69380	4	3.002562	6	60.0	1.998	0.333	50.0	8.333	41002.0	41016	9.0	9		true
w2	1	1	go	near-saturation	fixture-1	69356	4	3.002792	1	10.0	0.333	0.333			10772.0	10776	7.0	7		true
w2	1	1	go	near-saturation	load-generator	69493	4	3.002735	19	190.0	6.328	0.333			13748.0	13764	10.0	11		true
w2	1	1	go	near-saturation	sut	69380	4	3.002897	8	80.0	2.664	0.333	33.333	4.167	42076.0	43140	9.0	9		true
w2	1	1	go	overload	fixture-1	69356	4	3.002722	0	0.0	0.0	0.333			10784.0	10784	7.0	7		false
w2	1	1	go	overload	load-generator	69529	4	3.002745	22	220.0	7.327	0.333			12448.0	12748	10.0	11		false
w2	1	1	go	overload	sut	69380	4	3.002854	8	80.0	2.664	0.333	26.667	3.333	46260.0	47320	9.0	9		false
w2	1	1	go	recovery	fixture-1	69356	4	3.002142	1	10.0	0.333	0.333			10788.0	10788	7.0	7	same-process recovery criteria failed	false
w2	1	1	go	recovery	load-generator	69565	4	3.002165	6	60.0	1.999	0.333			15702.0	16728	9.0	10	same-process recovery criteria failed	false
